category_id,category_name
100636,Phụ kiện và đồ dùng nhà bếp
100010,"Máy xay-ép, đánh trứng trộn bột, máy xay thịt, xay thực phẩm"
100640,Dụng cụ sửa chữa
100637,Giày Cầu Lông
100643,Văn Học Lãng Mạn
100001,Hỗ trợ tăng cơ
100630,Môi - Son tint dạng lỏng
100632,Khăn lau
100629,Bột pha
100011,Quần Jeans
100535,Tai Nghe
100013,Thẻ nhớ
100017,Áo sơ mi
100644,Màn Hình
100631,Phụ kiện thủy sinh
100009,Cà vạt & Nơ cổ
100633,Đồng Hồ Trẻ Em
100532,Giày Đế Xuồng
100015,Khác
100635,Chân máy ảnh & gậy
100639,Mô hình nhân vật
100016,Charm & Phụ Kiện Gắn Túi
100533,Khác
100634,Phụ kiện Console
100012,Dép Xỏ Ngón
100638,Sổ Tay
100534,Đồng Hồ Nữ
100641,Thảm lót
100642,Siêu thị
